[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:24:38 :CIRI3 start
2026-04-20 20:24:54 Running:/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/Chimeric.out.junction,/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/Aligned.out.sam,/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam
2026-04-20 20:24:59 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=34 reads_seen=35275 reads_in_scan1IdMap=91 bsj_emitted=224
2026-04-20 20:24:59 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=16 reads_seen=35533 reads_in_scan1IdMap=125 bsj_emitted=231
2026-04-20 20:24:59 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=2 reads_seen=35936 reads_in_scan1IdMap=95 bsj_emitted=223
2026-04-20 20:24:59 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=26 reads_seen=35520 reads_in_scan1IdMap=95 bsj_emitted=210
2026-04-20 20:25:00 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=22 reads_seen=35530 reads_in_scan1IdMap=112 bsj_emitted=218
2026-04-20 20:25:00 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=17 reads_seen=34616 reads_in_scan1IdMap=125 bsj_emitted=278
2026-04-20 20:25:00 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=3 reads_seen=34634 reads_in_scan1IdMap=119 bsj_emitted=223
2026-04-20 20:25:00 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=33 reads_seen=34760 reads_in_scan1IdMap=123 bsj_emitted=235
2026-04-20 20:25:00 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=23 reads_seen=34682 reads_in_scan1IdMap=117 bsj_emitted=246
